team|player|observations|score|expectedScore|scoreDiff
Melbourne|Steven May|3|2|5.87889|-3.87889
Collingwood|Jay Rantall|1|0|3.820513|-3.820513
Gold Coast Suns|Izak Rankine|34|107|110.7948697|-3.79486969999999
Adelaide Crows|Sam Berry|17|39|42.717105|-3.717105
Collingwood|Jack Crisp|4|8|11.708333|-3.708333
Geelong Cats|Sam Simpson|4|14|17.521505|-3.521505
Fremantle|Caleb Serong|24|57|60.5194312|-3.51943120000001
Gold Coast Suns|Noah Anderson|7|5|8.4514107|-3.4514107
Port Adelaide|Hamish Hartlett|2|2|5.439394|-3.439394
Carlton|Marc Pittonet|10|35|38.417691|-3.417691
Sydney Swans|Sam Reid|16|42|45.3910583|-3.3910583
Essendon|Mason Redman|5|20|23.380435|-3.380435
Brisbane Lions|Jack Payne|2|1|4.333333|-3.333333
Essendon|Jye Caldwell|2|1|4.333333|-3.333333
Adelaide Crows|Brodie Smith|6|9|12.3105177|-3.3105177
Gold Coast Suns|Touk Miller|18|50|53.307988|-3.30798799999999
Western Bulldogs|Lin Jong|1|1|4.285714|-3.285714
GWS Giants|Tanner Bruhn|9|28|31.277812|-3.277812
Hawthorn|Liam Shiels|15|33|36.1940663|-3.1940663
Western Bulldogs|Jamarra Ugle-Hagan|14|44|47.189811|-3.189811
Essendon|Andrew McGrath|6|14|17.166667|-3.166667
Sydney Swans|Hayden McLean|19|72|75.163915|-3.163915
Hawthorn|Jaeger O'Meara|16|39|42.159998|-3.15999799999999
Melbourne|Jake Lever|1|1|4.125|-3.125
Richmond|Maurice Rioli|4|12|15.122222|-3.122222
Fremantle|Michael Frederick|15|40|43.100913|-3.100913
Fremantle|Matt Taberner|62|239|242.065853|-3.06585300000012
St Kilda|Shaun McKernan|4|13|16.052632|-3.052632
Melbourne|Christian Petracca|59|170|172.9894933|-2.98949330000002
Carlton|Lochie O'Brien|3|8|10.948718|-2.948718
Adelaide Crows|Riley Thilthorpe|32|118|120.928094|-2.92809400000002
North Melbourne|Charlie Lazzaro|9|21|23.875213|-2.875213
Fremantle|Alex Pearce|1|1|3.833333|-2.833333
Hawthorn|Josh Morris|1|1|3.833333|-2.833333
Sydney Swans|Lewis Taylor|1|1|3.833333|-2.833333
Western Bulldogs|Louis Butler|1|0|2.793103|-2.793103
